idx,tracking_ts_unix,tracking_ts_gmt2,closest_timestamp_idx,closest_robot_ts_unix,closest_robot_ts_gmt2,time_difference
0,1753805664.499108,2025-07-29 18:14:24,50,1753805664.582158,2025-07-29 18:14:24,0.08304999999999996
1,1753805664.59841,2025-07-29 18:14:24,50,1753805664.582158,2025-07-29 18:14:24,0.016252
2,1753805664.636042,2025-07-29 18:14:24,50,1753805664.582158,2025-07-29 18:14:24,0.053884
3,1753805664.662011,2025-07-29 18:14:24,50,1753805664.582158,2025-07-29 18:14:24,0.079853
4,1753805664.700565,2025-07-29 18:14:24,51,1753805664.76557,2025-07-29 18:14:24,0.06500499999999998
5,1753805664.753544,2025-07-29 18:14:24,51,1753805664.76557,2025-07-29 18:14:24,0.012025999999999981
6,1753805664.809463,2025-07-29 18:14:24,51,1753805664.76557,2025-07-29 18:14:24,0.043893
7,1753805664.857945,2025-07-29 18:14:24,52,1753805664.945934,2025-07-29 18:14:24,0.08798899999999998
8,1753805664.90736,2025-07-29 18:14:24,52,1753805664.945934,2025-07-29 18:14:24,0.038574
9,1753805664.955981,2025-07-29 18:14:24,52,1753805664.945934,2025-07-29 18:14:24,0.010047
10,1753805665.005082,2025-07-29 18:14:25,52,1753805664.945934,2025-07-29 18:14:24,0.059148
11,1753805665.05114,2025-07-29 18:14:25,53,1753805665.126165,2025-07-29 18:14:25,0.07502500000000001
12,1753805665.099363,2025-07-29 18:14:25,53,1753805665.126165,2025-07-29 18:14:25,0.026801999999999992
13,1753805665.15814,2025-07-29 18:14:25,53,1753805665.126165,2025-07-29 18:14:25,0.031975
14,1753805665.199889,2025-07-29 18:14:25,53,1753805665.126165,2025-07-29 18:14:25,0.073724
15,1753805665.256836,2025-07-29 18:14:25,54,1753805665.301444,2025-07-29 18:14:25,0.04460799999999998
16,1753805665.300004,2025-07-29 18:14:25,54,1753805665.301444,2025-07-29 18:14:25,0.0014399999999999968
17,1753805665.357559,2025-07-29 18:14:25,54,1753805665.301444,2025-07-29 18:14:25,0.056115
18,1753805665.405881,2025-07-29 18:14:25,55,1753805665.477367,2025-07-29 18:14:25,0.07148600000000005
19,1753805665.452019,2025-07-29 18:14:25,55,1753805665.477367,2025-07-29 18:14:25,0.025348000000000037
20,1753805665.506364,2025-07-29 18:14:25,55,1753805665.477367,2025-07-29 18:14:25,0.028997
21,1753805665.552059,2025-07-29 18:14:25,55,1753805665.477367,2025-07-29 18:14:25,0.074692
22,1753805665.614154,2025-07-29 18:14:25,56,1753805665.649812,2025-07-29 18:14:25,0.03565799999999997
23,1753805665.652993,2025-07-29 18:14:25,56,1753805665.649812,2025-07-29 18:14:25,0.003181
24,1753805665.708608,2025-07-29 18:14:25,56,1753805665.649812,2025-07-29 18:14:25,0.058796
25,1753805665.754917,2025-07-29 18:14:25,57,1753805665.826441,2025-07-29 18:14:25,0.07152400000000003
26,1753805665.802505,2025-07-29 18:14:25,57,1753805665.826441,2025-07-29 18:14:25,0.023935999999999957
27,1753805665.85269,2025-07-29 18:14:25,57,1753805665.826441,2025-07-29 18:14:25,0.026249
28,1753805665.899999,2025-07-29 18:14:25,57,1753805665.826441,2025-07-29 18:14:25,0.073558
29,1753805665.951838,2025-07-29 18:14:25,58,1753805666.006125,2025-07-29 18:14:26,0.054286999999999974
30,1753805666.002249,2025-07-29 18:14:26,58,1753805666.006125,2025-07-29 18:14:26,0.0038759999999999906
31,1753805666.0603,2025-07-29 18:14:26,58,1753805666.006125,2025-07-29 18:14:26,0.054175
32,1753805666.10881,2025-07-29 18:14:26,59,1753805666.183662,2025-07-29 18:14:26,0.07485200000000003
33,1753805666.153389,2025-07-29 18:14:26,59,1753805666.183662,2025-07-29 18:14:26,0.030272999999999994
34,1753805666.20429,2025-07-29 18:14:26,59,1753805666.183662,2025-07-29 18:14:26,0.020628
35,1753805666.250515,2025-07-29 18:14:26,59,1753805666.183662,2025-07-29 18:14:26,0.066853
36,1753805666.303064,2025-07-29 18:14:26,60,1753805666.359533,2025-07-29 18:14:26,0.05646899999999999
37,1753805666.355215,2025-07-29 18:14:26,60,1753805666.359533,2025-07-29 18:14:26,0.004318000000000044
38,1753805666.40139,2025-07-29 18:14:26,60,1753805666.359533,2025-07-29 18:14:26,0.041857
39,1753805666.457817,2025-07-29 18:14:26,61,1753805666.535756,2025-07-29 18:14:26,0.07793899999999998
40,1753805666.501814,2025-07-29 18:14:26,61,1753805666.535756,2025-07-29 18:14:26,0.03394200000000003
41,1753805666.552846,2025-07-29 18:14:26,61,1753805666.535756,2025-07-29 18:14:26,0.01709
42,1753805666.603213,2025-07-29 18:14:26,61,1753805666.535756,2025-07-29 18:14:26,0.067457
43,1753805667.755917,2025-07-29 18:14:27,68,1753805667.801925,2025-07-29 18:14:27,0.04600800000000005
44,1753805667.803904,2025-07-29 18:14:27,68,1753805667.801925,2025-07-29 18:14:27,0.001979
45,1753805667.861576,2025-07-29 18:14:27,68,1753805667.801925,2025-07-29 18:14:27,0.059651
46,1753805667.903685,2025-07-29 18:14:27,69,1753805667.978074,2025-07-29 18:14:27,0.07438900000000004
47,1753805667.95619,2025-07-29 18:14:27,69,1753805667.978074,2025-07-29 18:14:27,0.021884000000000015
48,1753805668.002265,2025-07-29 18:14:28,69,1753805667.978074,2025-07-29 18:14:27,0.024191
49,1753805668.051365,2025-07-29 18:14:28,69,1753805667.978074,2025-07-29 18:14:27,0.073291
50,1753805668.109844,2025-07-29 18:14:28,70,1753805668.154344,2025-07-29 18:14:28,0.044499999999999984
51,1753805668.156361,2025-07-29 18:14:28,70,1753805668.154344,2025-07-29 18:14:28,0.002017
52,1753805668.209148,2025-07-29 18:14:28,70,1753805668.154344,2025-07-29 18:14:28,0.054804
53,1753805668.254922,2025-07-29 18:14:28,71,1753805668.334941,2025-07-29 18:14:28,0.08001899999999995
54,1753805668.302809,2025-07-29 18:14:28,71,1753805668.334941,2025-07-29 18:14:28,0.03213200000000005
55,1753805668.350943,2025-07-29 18:14:28,71,1753805668.334941,2025-07-29 18:14:28,0.016002
56,1753805668.408655,2025-07-29 18:14:28,71,1753805668.334941,2025-07-29 18:14:28,0.073714
57,1753805668.454594,2025-07-29 18:14:28,72,1753805668.515798,2025-07-29 18:14:28,0.061204000000000036
58,1753805668.502302,2025-07-29 18:14:28,72,1753805668.515798,2025-07-29 18:14:28,0.013495999999999952
59,1753805668.549974,2025-07-29 18:14:28,72,1753805668.515798,2025-07-29 18:14:28,0.034176
60,1753805668.604114,2025-07-29 18:14:28,73,1753805668.690943,2025-07-29 18:14:28,0.08682900000000005
61,1753805668.651132,2025-07-29 18:14:28,73,1753805668.690943,2025-07-29 18:14:28,0.03981100000000004
62,1753805668.705565,2025-07-29 18:14:28,73,1753805668.690943,2025-07-29 18:14:28,0.014622
63,1753805668.754895,2025-07-29 18:14:28,73,1753805668.690943,2025-07-29 18:14:28,0.063952
64,1753805668.809471,2025-07-29 18:14:28,74,1753805668.867061,2025-07-29 18:14:28,0.05759000000000003
65,1753805668.853944,2025-07-29 18:14:28,74,1753805668.867061,2025-07-29 18:14:28,0.013117000000000045
66,1753805668.900773,2025-07-29 18:14:28,74,1753805668.867061,2025-07-29 18:14:28,0.033712
67,1753805668.95201,2025-07-29 18:14:28,74,1753805668.867061,2025-07-29 18:14:28,0.084949
68,1753805669.006609,2025-07-29 18:14:29,75,1753805669.04729,2025-07-29 18:14:29,0.04068099999999997
69,1753805669.05717,2025-07-29 18:14:29,75,1753805669.04729,2025-07-29 18:14:29,0.00988
70,1753805669.108585,2025-07-29 18:14:29,75,1753805669.04729,2025-07-29 18:14:29,0.061295
71,1753805669.15598,2025-07-29 18:14:29,76,1753805669.233287,2025-07-29 18:14:29,0.07730700000000001
72,1753805669.203001,2025-07-29 18:14:29,76,1753805669.233287,2025-07-29 18:14:29,0.030286000000000035
73,1753805669.253945,2025-07-29 18:14:29,76,1753805669.233287,2025-07-29 18:14:29,0.020658
74,1753805669.300608,2025-07-29 18:14:29,76,1753805669.233287,2025-07-29 18:14:29,0.067321
75,1753805669.357996,2025-07-29 18:14:29,77,1753805669.422339,2025-07-29 18:14:29,0.06434300000000004
76,1753805669.407824,2025-07-29 18:14:29,77,1753805669.422339,2025-07-29 18:14:29,0.014514999999999945
77,1753805669.449545,2025-07-29 18:14:29,77,1753805669.422339,2025-07-29 18:14:29,0.027206
78,1753805669.506081,2025-07-29 18:14:29,77,1753805669.422339,2025-07-29 18:14:29,0.083742
79,1753805669.551688,2025-07-29 18:14:29,78,1753805669.596565,2025-07-29 18:14:29,0.044876999999999945
80,1753805669.604452,2025-07-29 18:14:29,78,1753805669.596565,2025-07-29 18:14:29,0.007887
81,1753805669.649896,2025-07-29 18:14:29,78,1753805669.596565,2025-07-29 18:14:29,0.053331
82,1753805669.707242,2025-07-29 18:14:29,79,1753805669.770777,2025-07-29 18:14:29,0.06353500000000001
83,1753805669.758517,2025-07-29 18:14:29,79,1753805669.770777,2025-07-29 18:14:29,0.012260000000000049
84,1753805669.812427,2025-07-29 18:14:29,79,1753805669.770777,2025-07-29 18:14:29,0.04165
85,1753805669.856523,2025-07-29 18:14:29,79,1753805669.770777,2025-07-29 18:14:29,0.085746
86,1753805669.902988,2025-07-29 18:14:29,80,1753805669.944267,2025-07-29 18:14:29,0.041278999999999955
87,1753805669.956014,2025-07-29 18:14:29,80,1753805669.944267,2025-07-29 18:14:29,0.011747
88,1753805670.00596,2025-07-29 18:14:30,80,1753805669.944267,2025-07-29 18:14:29,0.061693
89,1753805670.058496,2025-07-29 18:14:30,81,1753805670.12119,2025-07-29 18:14:30,0.06269400000000003
90,1753805670.099889,2025-07-29 18:14:30,81,1753805670.12119,2025-07-29 18:14:30,0.021301000000000014
91,1753805670.16149,2025-07-29 18:14:30,81,1753805670.12119,2025-07-29 18:14:30,0.0403
92,1753805670.204234,2025-07-29 18:14:30,81,1753805670.12119,2025-07-29 18:14:30,0.083044
93,1753805670.256642,2025-07-29 18:14:30,82,1753805670.292632,2025-07-29 18:14:30,0.035989999999999966
94,1753805670.310615,2025-07-29 18:14:30,82,1753805670.292632,2025-07-29 18:14:30,0.017983
95,1753805670.361175,2025-07-29 18:14:30,82,1753805670.292632,2025-07-29 18:14:30,0.068543
96,1753805670.410088,2025-07-29 18:14:30,83,1753805670.472022,2025-07-29 18:14:30,0.061934000000000045
97,1753805670.461976,2025-07-29 18:14:30,83,1753805670.472022,2025-07-29 18:14:30,0.010046
98,1753805670.512024,2025-07-29 18:14:30,83,1753805670.472022,2025-07-29 18:14:30,0.040002
99,1753805670.559606,2025-07-29 18:14:30,84,1753805670.646893,2025-07-29 18:14:30,0.087287
100,1753805670.604255,2025-07-29 18:14:30,84,1753805670.646893,2025-07-29 18:14:30,0.042637999999999954
101,1753805670.649686,2025-07-29 18:14:30,84,1753805670.646893,2025-07-29 18:14:30,0.002793
102,1753805670.700933,2025-07-29 18:14:30,84,1753805670.646893,2025-07-29 18:14:30,0.05404
103,1753805670.762112,2025-07-29 18:14:30,85,1753805670.821393,2025-07-29 18:14:30,0.05928100000000003
104,1753805670.802753,2025-07-29 18:14:30,85,1753805670.821393,2025-07-29 18:14:30,0.01863999999999999
105,1753805670.854142,2025-07-29 18:14:30,85,1753805670.821393,2025-07-29 18:14:30,0.032749
106,1753805670.907253,2025-07-29 18:14:30,85,1753805670.821393,2025-07-29 18:14:30,0.08586
107,1753805670.951094,2025-07-29 18:14:30,86,1753805670.994457,2025-07-29 18:14:30,0.04336300000000004
108,1753805671.009926,2025-07-29 18:14:31,86,1753805670.994457,2025-07-29 18:14:30,0.015469
109,1753805671.050256,2025-07-29 18:14:31,86,1753805670.994457,2025-07-29 18:14:30,0.055799
110,1753805671.108081,2025-07-29 18:14:31,87,1753805671.170953,2025-07-29 18:14:31,0.06287200000000004
111,1753805671.163066,2025-07-29 18:14:31,87,1753805671.170953,2025-07-29 18:14:31,0.007886999999999977
112,1753805671.209313,2025-07-29 18:14:31,87,1753805671.170953,2025-07-29 18:14:31,0.03836
113,1753805671.255352,2025-07-29 18:14:31,87,1753805671.170953,2025-07-29 18:14:31,0.084399
114,1753805671.299982,2025-07-29 18:14:31,88,1753805671.345423,2025-07-29 18:14:31,0.045440999999999954
115,1753805671.357438,2025-07-29 18:14:31,88,1753805671.345423,2025-07-29 18:14:31,0.012015
116,1753805671.40358,2025-07-29 18:14:31,88,1753805671.345423,2025-07-29 18:14:31,0.058157
117,1753805671.458195,2025-07-29 18:14:31,89,1753805671.518146,2025-07-29 18:14:31,0.05995099999999998
118,1753805671.501433,2025-07-29 18:14:31,89,1753805671.518146,2025-07-29 18:14:31,0.016712999999999978
119,1753805671.554382,2025-07-29 18:14:31,89,1753805671.518146,2025-07-29 18:14:31,0.036236
120,1753805671.605727,2025-07-29 18:14:31,89,1753805671.518146,2025-07-29 18:14:31,0.087581
121,1753805671.653456,2025-07-29 18:14:31,90,1753805671.695085,2025-07-29 18:14:31,0.04162900000000003
122,1753805671.705978,2025-07-29 18:14:31,90,1753805671.695085,2025-07-29 18:14:31,0.010893
123,1753805671.750649,2025-07-29 18:14:31,90,1753805671.695085,2025-07-29 18:14:31,0.055564
124,1753805671.800101,2025-07-29 18:14:31,91,1753805671.870054,2025-07-29 18:14:31,0.06995300000000004
125,1753805671.856415,2025-07-29 18:14:31,91,1753805671.870054,2025-07-29 18:14:31,0.013638999999999957
126,1753805671.906844,2025-07-29 18:14:31,91,1753805671.870054,2025-07-29 18:14:31,0.03679
127,1753805671.959536,2025-07-29 18:14:31,92,1753805672.045899,2025-07-29 18:14:32,0.08636299999999997
128,1753805672.000826,2025-07-29 18:14:32,92,1753805672.045899,2025-07-29 18:14:32,0.04507300000000003
129,1753805672.05744,2025-07-29 18:14:32,92,1753805672.045899,2025-07-29 18:14:32,0.011541
130,1753805672.100774,2025-07-29 18:14:32,92,1753805672.045899,2025-07-29 18:14:32,0.054875
131,1753805672.15142,2025-07-29 18:14:32,93,1753805672.227438,2025-07-29 18:14:32,0.07601800000000003
132,1753805672.201545,2025-07-29 18:14:32,93,1753805672.227438,2025-07-29 18:14:32,0.025893000000000055
133,1753805672.260284,2025-07-29 18:14:32,93,1753805672.227438,2025-07-29 18:14:32,0.032846
134,1753805672.308983,2025-07-29 18:14:32,93,1753805672.227438,2025-07-29 18:14:32,0.081545
135,1753805672.357409,2025-07-29 18:14:32,94,1753805672.410296,2025-07-29 18:14:32,0.05288700000000002
